Portfolio,Market Condition,Market State,Rebal Type,Rebal Value,TLH Status,Strategy Label,Final NAV,Total Return,CAGR,Volatility (Ann),Sharpe Ratio,Max Drawdown,Return Skewness,Return Kurtosis,Tracking Error (Ann),Information Ratio,Tax Paid,Realized Losses (All),TLH Losses,Rebal Losses,TLH Event Count,Execution Costs,Tax Alpha 2,Loss Carryforward ST,Loss Carryforward LT,Liquidation NAV,Unrealized Gain ST,Unrealized Gain LT,Liquidation Tax,Liquidation Exec Cost
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,632540.880000,-0.367459,-0.205038,0.318315,-0.644100,-0.540920,0.232200,7.631500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,632831.830000,0.000000,-366260.560000,-1050.000000,759.050000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,638118.820000,-0.361881,-0.201533,0.318483,-0.632800,-0.529814,0.218000,8.449400,0.028703,0.105400,-1050.000000,339922.870000,339922.868034,0.000000,26,6112.840000,5577.945370,0.000000,0.000000,637354.340000,38171.440000,-55066.920000,0.000000,764.480000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,632540.880000,-0.367459,-0.205038,0.318315,-0.644100,-0.540920,0.232200,7.631500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,632831.830000,0.000000,-366260.560000,-1050.000000,759.050000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,638118.820000,-0.361881,-0.201533,0.318483,-0.632800,-0.529814,0.218000,8.449400,0.028703,0.105400,-1050.000000,339922.870000,339922.868034,0.000000,26,6112.840000,5577.945370,0.000000,0.000000,637354.340000,38171.440000,-55066.920000,0.000000,764.480000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,632540.880000,-0.367459,-0.205038,0.318315,-0.644100,-0.540920,0.232200,7.631500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,632831.830000,0.000000,-366260.560000,-1050.000000,759.050000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,638118.820000,-0.361881,-0.201533,0.318483,-0.632800,-0.529814,0.218000,8.449400,0.028703,0.105400,-1050.000000,339922.870000,339922.868034,0.000000,26,6112.840000,5577.945370,0.000000,0.000000,637354.340000,38171.440000,-55066.920000,0.000000,764.480000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Monthly,Off,Monthly Rebal | No TLH,633873.440000,-0.366127,-0.204199,0.318013,-0.642100,-0.540496,0.230800,7.645700,0.000000,0.000000,818.245835,11307.020000,0.000000,11307.022329,0,1529.390000,,0.000000,0.000000,633114.060000,-12446.010000,-346843.180000,0.000000,759.390000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,628607.460000,-0.371393,-0.207518,0.315750,-0.657200,-0.544185,0.111400,7.562400,0.021591,-0.175900,818.245835,301934.910000,243502.968537,58431.936817,87,7753.310000,-5265.986839,0.000000,0.000000,627854.390000,-20217.060000,-54378.770000,0.000000,753.070000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,632985.860000,-0.367014,-0.204757,0.317196,-0.645500,-0.539853,0.230800,7.663700,0.000000,0.000000,1202.219290,4247.210000,0.000000,4247.210368,0,1358.290000,,0.000000,0.000000,633118.090000,-9279.370000,-356040.850000,-891.620000,759.390000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,630845.500000,-0.369154,-0.206106,0.316246,-0.651700,-0.535758,0.217100,8.144100,0.025249,-0.072300,163.121217,347490.180000,342682.631071,4807.550729,60,8101.780000,-2140.354812,0.000000,0.000000,630089.750000,18955.390000,-56662.570000,0.000000,755.750000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Yearly,Off,Yearly Rebal | No TLH,632525.640000,-0.367474,-0.205047,0.316031,-0.648800,-0.539012,0.213600,7.533100,0.000000,0.000000,1676.890966,0.000000,0.000000,0.000000,0,1262.320000,,0.000000,0.000000,634491.490000,-10583.890000,-358742.380000,-2726.890000,761.040000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,640937.350000,-0.359063,-0.199768,0.316794,-0.630600,-0.527492,0.200600,8.341400,0.028460,0.168700,-1050.000000,336764.860000,336764.862133,0.000000,40,6176.660000,8411.710007,0.000000,0.000000,640169.490000,33104.670000,-55066.920000,0.000000,767.860000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,637135.990000,-0.362864,-0.202150,0.318362,-0.635000,-0.538511,0.244200,7.699000,0.000000,0.000000,-474.327675,8328.090000,0.000000,8328.093157,0,1340.170000,,0.000000,0.000000,636947.670000,-7803.780000,-352839.160000,-575.670000,763.990000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,650249.640000,-0.349750,-0.193964,0.318043,-0.609900,-0.530462,0.214900,8.307400,0.026243,0.293600,-1050.000000,295789.540000,251029.702946,44759.838483,28,6103.970000,13113.648679,0.000000,0.000000,649470.600000,-1106.330000,-55066.920000,0.000000,779.040000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,632540.880000,-0.367459,-0.205038,0.318315,-0.644100,-0.540920,0.232200,7.631500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,632831.830000,0.000000,-366260.560000,-1050.000000,759.050000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,638118.820000,-0.361881,-0.201533,0.318483,-0.632800,-0.529814,0.218000,8.449400,0.028703,0.105400,-1050.000000,339922.870000,339922.868034,0.000000,26,6112.840000,5577.945370,0.000000,0.000000,637354.340000,38171.440000,-55066.920000,0.000000,764.480000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,2488665.210000,1.488665,0.095659,0.152755,0.626200,-0.213777,-0.405200,4.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,2187706.060000,0.000000,1489863.780000,297972.760000,2986.400000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,2458180.960000,1.458181,0.094307,0.151737,0.621500,-0.221881,-0.426900,4.592900,0.007002,-0.211900,-4200.000000,71993.070000,71993.070433,0.000000,9,2643.730000,-30484.251120,30955.265505,20736.424627,2161060.370000,0.000000,1528617.760000,294174.940000,2945.660000
