Portfolio,Category,Model Family,Equity Allocation,Models Coverage,Market Condition,Market State,Rebal Type,Rebal Value,TLH Status,Strategy Label,Final NAV,Total Return,CAGR,Volatility (Ann),Sharpe Ratio,Max Drawdown,Return Skewness,Return Kurtosis,Tracking Error (Ann),Information Ratio,Tax Paid,Realized Losses (All),TLH Losses,Rebal Losses,TLH Event Count,Execution Costs,Tax Alpha 2,Loss Carryforward ST,Loss Carryforward LT,Liquidation NAV,Unrealized Gain ST,Unrealized Gain LT,Liquidation Tax,Liquidation Exec Cost
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,0.000000,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,0.000000,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,0.000000,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Calendar,Monthly,Off,Monthly Rebal | No TLH,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,0.000000,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,0.000000,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
FFG Qualified - 0-100,Fixed Income-Heavy,FFG Qualified,0.000000,0.450000,Bear Market,Bear (2007–2008),Calendar,Yearly,Off,Yearly Rebal | No TLH,1124906.050000,0.124906,0.076572,0.089426,0.856300,-0.077673,-0.693800,53.428700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,1098335.240000,0.000000,126104.610000,25220.920000,1349.890000
