Portfolio,Market State,Rebal Type,Rebal Value,Strategy,NoTLH_Final_NAV,NoTLH_Liq_NAV,TLH_Final_NAV,TLH_Liq_NAV,Pre_Liq_TaxAlpha,Post_Liq_TaxAlpha,TLH_Events,ExecCost_NoTLH,ExecCost_TLH,LiqTax_NoTLH,LiqTax_TLH
100/0 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,2390111.33,2119516.8,2307595.99,2055843.8,-82515.33999999985,-63672.99999999977,18,1547.89,4317.81,267710.47,249051.41
100/0 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2488665.21,2187706.06,2458180.96,2161060.37,-30484.25,-26645.689999999944,9,1198.56,2643.73,297972.76,294174.94
100/0 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2488665.21,2187706.06,2458180.96,2161060.37,-30484.25,-26645.689999999944,9,1198.56,2643.73,297972.76,294174.94
100/0 (TA ETF),Baseline (2010–2019),Calendar,Monthly,Monthly Rebal | No TLH,2269844.03,2036231.85,2278076.28,2034587.77,8232.25,-1644.0800000000745,206,3406.51,5930.91,230880.78,240746.62
100/0 (TA ETF),Baseline (2010–2019),Calendar,Quarterly,Quarterly Rebal | No TLH,2282450.26,2043286.61,2303366.46,2046093.49,20916.200000000186,2806.8799999998882,109,2514.85,5183.25,236420.43,254503.92
100/0 (TA ETF),Baseline (2010–2019),Calendar,Yearly,Yearly Rebal | No TLH,2299914.67,2053314.03,2257522.81,2010822.77,-42391.85999999987,-42491.26000000001,33,1922.89,4572.87,243836.64,244019.97
100/0 (TA ETF),Baseline (2010–2019),Relative Threshold,0.25,Rel Threshold 25% | No TLH,2324520.23,2070708.02,2257226.97,2005862.78,-67293.25999999978,-64845.23999999999,41,1723.67,4468.06,251013.5,248721.31
100/0 (TA ETF),Baseline (2010–2019),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2355118.23,2107307.66,2281671.18,2041140.65,-73447.04999999981,-66167.01000000024,23,1897.48,4857.26,244955.03,237860.54
2-ETF (IVV/EFA),Baseline (2010–2019),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,2052334.43,1850919.3,2054456.4,1850398.39,2121.969999999972,-520.910000000149,2,1687.31,1978.64,198943.66,201586.64
2-ETF (IVV/EFA),Baseline (2010–2019),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2100799.21,1887776.09,2097273.6,1884075.08,-3525.6099999998696,-3701.0100000000093,1,1555.37,1860.31,210487.18,210683.05
2-ETF (IVV/EFA),Baseline (2010–2019),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2194652.81,1952848.96,2194652.81,1952848.96,0.0,0.0,0,1198.56,1198.56,239170.28,239170.28
