,SPLITID,EXDATE,PAYDATE,RECORDDATE,ANNOUNCEDDATE,RATE,TRADINGITEMID,EXCHANGEID,SPLITTYPEID,APPLIEDFLAG,SPLITTYPEID,SPLITTYPENAME
0,2671111,2025-11-20,2025-11-19,2025-11-18,,2.0,98126613,104.0,12,1,,
1,2671497,2025-12-05,2025-12-04,2025-12-02,,2.0,6179732,117.0,12,1,,
2,2671496,2025-12-05,2025-12-04,2025-12-02,,2.0,6179740,117.0,12,1,,
3,2671494,2025-12-05,2025-12-04,2025-12-02,,2.0,6179735,117.0,12,1,,
4,2671495,2025-12-05,2025-12-04,2025-12-02,,2.0,6179736,117.0,12,1,,
5,2671493,2025-12-05,2025-12-04,2025-12-02,,2.0,6179739,117.0,12,1,,
6,2660481,2000-03-20,2000-03-17,2000-02-28,,2.0,37284618,104.0,12,1,,
7,2659316,2024-03-07,2024-03-06,2024-03-04,,4.0,7320179,810.0,12,1,,
8,2658103,2024-03-07,2024-03-06,2024-03-04,,3.0,6179430,117.0,33,1,,
9,2658104,2024-03-07,2024-03-06,2024-03-04,,5.0,6179429,117.0,33,1,,
10,2658105,2024-03-07,2024-03-06,2024-03-04,,3.0,6179434,117.0,33,1,,
11,2658102,2024-02-22,2024-02-21,2024-02-16,,5.0,6179404,117.0,33,1,,
12,2658099,2024-03-07,2024-03-06,2024-03-04,,6.0,6179408,117.0,12,1,,
13,2655061,2023-07-17,2023-07-14,2023-07-13,,10.0,30050331,117.0,33,1,,
14,2652086,2023-03-14,2023-03-13,2023-03-10,,2.0,113275699,117.0,11,1,,
15,2652853,2023-05-05,2023-05-04,2023-05-03,2023-04-11,2.0,171153094,104.0,12,1,,
16,2650918,2022-12-21,2022-12-20,2022-12-19,2022-12-08,2.0,632575311,117.0,11,1,,
17,2650993,2023-01-12,2023-01-11,2023-01-09,,2.0,129842779,117.0,11,1,,
18,2650992,2023-01-12,2023-01-11,2023-01-09,,3.0,318288787,117.0,11,1,,
19,2644729,2022-01-13,2022-01-12,2022-01-11,,2.0,98126613,104.0,12,1,,
20,2645545,2022-03-11,2022-03-10,2022-03-08,,2.0,79112242,117.0,12,1,,
21,2641637,2021-07-19,2021-07-16,2021-07-14,2021-06-23,6.0,6179388,117.0,33,1,,
22,2639235,2021-04-19,2021-04-16,2021-04-14,,3.0,10633475,104.0,12,1,,
23,2639026,2021-04-20,2021-04-19,2021-04-16,2021-03-23,2.0,113807429,104.0,12,1,,
24,2639027,2021-04-20,2021-04-19,2021-04-16,2021-03-23,4.0,113668632,104.0,12,1,,
25,2639028,2021-04-20,2021-04-19,2021-04-16,2021-03-23,2.0,113668633,104.0,12,1,,
26,2639615,2021-04-19,2021-04-16,2021-04-14,,6.0,10633476,117.0,12,1,,
27,2639616,2021-04-19,2021-04-16,2021-04-14,,5.0,10633470,117.0,12,1,,
28,2639618,2021-04-19,2021-04-16,2021-04-14,,6.0,10633474,117.0,12,1,,
29,2639619,2021-04-19,2021-04-16,2021-04-14,,2.0,10633472,117.0,12,1,,
30,2639620,2021-04-19,2021-04-16,2021-04-14,,4.0,10633473,117.0,12,1,,
31,2639621,2021-04-19,2021-04-16,2021-04-20,,3.0,10633477,117.0,12,1,,
